Province,Age Group,Population
Manitoba,100 years and over,483
Saskatchewan,0 to 4 years,"76,563"
Saskatchewan,5 to 9 years,"78,052"
Saskatchewan,10 to 14 years,"74,569"
Saskatchewan,15 to 19 years,"71,620"
Saskatchewan,20 to 24 years,"74,895"
Saskatchewan,25 to 29 years,"80,589"
Saskatchewan,30 to 34 years,"86,441"
Saskatchewan,35 to 39 years,"84,274"
Saskatchewan,40 to 44 years,"73,709"
Saskatchewan,45 to 49 years,"66,942"
Saskatchewan,50 to 54 years,"67,664"
Saskatchewan,55 to 59 years,"78,452"
Saskatchewan,60 to 64 years,"73,745"
Saskatchewan,65 to 69 years,"59,186"
Saskatchewan,70 to 74 years,"44,359"
Saskatchewan,75 to 79 years,"31,050"
Saskatchewan,80 to 84 years,"22,575"
Saskatchewan,85 to 89 years,"16,105"
Saskatchewan,90 to 94 years,"8,373"
Saskatchewan,95 to 99 years,"2,808"
Saskatchewan,100 years and over,508
Alberta,0 to 4 years,"271,463"
Alberta,5 to 9 years,"277,011"
Alberta,10 to 14 years,"268,363"
Alberta,15 to 19 years,"254,521"
Alberta,20 to 24 years,"275,566"
Alberta,25 to 29 years,"320,691"
Alberta,30 to 34 years,"355,136"
Alberta,35 to 39 years,"351,453"
Alberta,40 to 44 years,"310,493"
Alberta,45 to 49 years,"284,897"
Alberta,50 to 54 years,"267,788"
Alberta,55 to 59 years,"286,096"
Alberta,60 to 64 years,"258,014"
Alberta,65 to 69 years,"198,624"
Alberta,70 to 74 years,"147,949"
Alberta,75 to 79 years,"98,111"
Alberta,80 to 84 years,"66,384"
Alberta,85 to 89 years,"43,375"
Alberta,90 to 94 years,"20,092"
Alberta,95 to 99 years,"5,573"
Alberta,100 years and over,976
British Columbia,0 to 4 years,"228,086"
British Columbia,5 to 9 years,"242,363"
British Columbia,10 to 14 years,"245,271"
British Columbia,15 to 19 years,"277,761"
British Columbia,20 to 24 years,"341,402"
British Columbia,25 to 29 years,"360,615"
British Columbia,30 to 34 years,"368,627"
British Columbia,35 to 39 years,"352,710"
British Columbia,40 to 44 years,"316,239"
British Columbia,45 to 49 years,"331,770"
British Columbia,50 to 54 years,"346,770"
British Columbia,55 to 59 years,"378,928"
British Columbia,60 to 64 years,"354,915"
British Columbia,65 to 69 years,"305,905"
British Columbia,70 to 74 years,"247,501"
British Columbia,75 to 79 years,"166,508"
British Columbia,80 to 84 years,"111,147"
British Columbia,85 to 89 years,"72,032"
British Columbia,90 to 94 years,"34,075"
British Columbia,95 to 99 years,"10,371"
British Columbia,100 years and over,"1,800"
Yukon,0 to 4 years,"2,305"
Yukon,5 to 9 years,"2,423"
Yukon,10 to 14 years,"2,173"
Yukon,15 to 19 years,"2,084"
Yukon,20 to 24 years,"2,370"
Yukon,25 to 29 years,"2,981"
Yukon,30 to 34 years,"3,449"
Yukon,35 to 39 years,"3,432"
Yukon,40 to 44 years,"2,933"
Yukon,45 to 49 years,"2,881"
Yukon,50 to 54 years,"2,817"
Yukon,55 to 59 years,"3,275"
Yukon,60 to 64 years,"3,032"
Yukon,65 to 69 years,"2,198"
Yukon,70 to 74 years,"1,444"
Yukon,75 to 79 years,785
Yukon,80 to 84 years,438
Yukon,85 to 89 years,216
Yukon,90 to 94 years,73
Yukon,95 to 99 years,48
Yukon,100 years and over,5
Northwest Territories ,0 to 4 years,"3,084"
Northwest Territories ,5 to 9 years,"3,070"
Northwest Territories ,10 to 14 years,"2,926"
Northwest Territories ,15 to 19 years,"2,817"
Northwest Territories ,20 to 24 years,"3,079"
Northwest Territories ,25 to 29 years,"3,786"
Northwest Territories ,30 to 34 years,"3,679"
Northwest Territories ,35 to 39 years,"3,462"
Northwest Territories ,40 to 44 years,"3,186"
Northwest Territories ,45 to 49 years,"3,055"
Northwest Territories ,50 to 54 years,"3,334"
Northwest Territories ,55 to 59 years,"3,286"
Northwest Territories ,60 to 64 years,"2,568"
Northwest Territories ,65 to 69 years,"1,696"
Northwest Territories ,70 to 74 years,971
Northwest Territories ,75 to 79 years,553
Northwest Territories ,80 to 84 years,299
Northwest Territories ,85 to 89 years,133
Northwest Territories ,90 to 94 years,65
Northwest Territories ,95 to 99 years,17
Northwest Territories ,100 years and over,4
Nunavut ,0 to 4 years,"4,251"
Nunavut ,5 to 9 years,"4,283"
Nunavut ,10 to 14 years,"3,796"
Nunavut ,15 to 19 years,"3,265"
Nunavut ,20 to 24 years,"3,084"
Nunavut ,25 to 29 years,"3,232"
Nunavut ,30 to 34 years,"3,098"
Nunavut ,35 to 39 years,"2,672"
Nunavut ,40 to 44 years,"2,197"
Nunavut ,45 to 49 years,"2,199"
Nunavut ,50 to 54 years,"2,226"
Nunavut ,55 to 59 years,"1,693"
Nunavut ,60 to 64 years,"1,048"
Nunavut ,65 to 69 years,691
Nunavut ,70 to 74 years,445
Nunavut ,75 to 79 years,226
Nunavut ,80 to 84 years,119
Nunavut ,85 to 89 years,43
Nunavut ,90 to 94 years,19
Nunavut ,95 to 99 years,3
Nunavut ,100 years and over,2
